Proyecto,Fecha,Planificado,Registrado,Diferencia,Estado
,28/07/2023,0.00,1.96,-1.96,Activo
,12/05/2023,0.00,6.00,-6.00,Activo
,30/01/2023,0.00,1.39,-1.39,Activo
,13/02/2023,0.00,11.75,-11.75,Activo
,03/04/2023,0.00,4.50,-4.50,Activo
,04/01/2023,0.00,10.75,-10.75,Activo
,31/05/2023,0.00,15.49,-15.49,Activo
,25/07/2023,0.00,4.50,-4.50,Activo
,14/06/2023,0.00,13.22,-13.22,Activo
,05/04/2023,0.00,0.25,-0.25,Activo
,24/04/2023,0.00,9.12,-9.12,Activo
,20/02/2023,0.00,5.00,-5.00,Activo
,22/03/2023,0.00,15.54,-15.54,Activo
,23/01/2023,0.00,10.34,-10.34,Activo
,23/06/2023,0.00,15.90,-15.90,Activo
,28/04/2023,0.00,6.58,-6.58,Activo
,13/03/2023,0.00,7.80,-7.80,Activo
,07/06/2023,0.00,8.50,-8.50,Activo
,27/01/2023,0.00,5.25,-5.25,Activo
,04/07/2023,0.00,10.17,-10.17,Activo
,10/03/2023,0.00,9.36,-9.36,Activo
,13/07/2023,0.00,11.46,-11.46,Activo
,26/06/2023,0.00,12.47,-12.47,Activo
,30/06/2023,0.00,14.31,-14.31,Activo
,23/02/2023,0.00,9.36,-9.36,Activo
,28/03/2023,0.00,14.50,-14.50,Activo
,01/02/2023,0.00,2.50,-2.50,Activo
,02/05/2023,0.00,10.92,-10.92,Activo
,06/03/2023,0.00,5.68,-5.68,Activo
,03/03/2023,0.00,8.75,-8.75,Activo
,10/07/2023,0.00,14.52,-14.52,Activo
,05/05/2023,0.00,9.00,-9.00,Activo
,18/04/2023,0.00,7.25,-7.25,Activo
,03/08/2023,0.00,0.50,-0.50,Activo
,17/01/2023,0.00,13.70,-13.70,Activo
,24/05/2023,0.00,14.37,-14.37,Activo
,11/01/2023,0.00,25.25,-25.25,Activo
,12/04/2023,0.00,11.83,-11.83,Activo
Alpha - Transferencias ACH con TC - Banco Industrial,,0.00,29.00,-29.00,Activo
,05/05/2023,0.00,0.50,-0.50,Activo
,10/04/2023,0.00,0.50,-0.50,Activo
,05/04/2023,0.00,0.50,-0.50,Activo
,14/04/2023,0.00,0.50,-0.50,Activo
,17/04/2023,0.00,0.50,-0.50,Activo
,29/03/2023,0.00,2.50,-2.50,Activo
,25/04/2023,0.00,0.50,-0.50,Activo
,27/04/2023,0.00,0.50,-0.50,Activo
,26/07/2023,0.00,3.00,-3.00,Activo
,02/05/2023,0.00,0.50,-0.50,Activo
,18/04/2023,0.00,0.50,-0.50,Activo
,24/04/2023,0.00,0.50,-0.50,Activo
,25/07/2023,0.00,8.00,-8.00,Activo
,28/04/2023,0.00,0.50,-0.50,Activo
,04/05/2023,0.00,0.50,-0.50,Activo
,11/04/2023,0.00,0.50,-0.50,Activo
,04/04/2023,0.00,0.50,-0.50,Activo
,13/04/2023,0.00,0.50,-0.50,Activo
,03/05/2023,0.00,0.50,-0.50,Activo
,27/07/2023,0.00,4.50,-4.50,Activo
,26/04/2023,0.00,0.50,-0.50,Activo
,24/07/2023,0.00,2.50,-2.50,Activo
Alpha - Transferencias Móviles con Tarjeta de Crédito - Banco Industrial,,0.00,533.80,-533.80,Activo
,13/07/2023,0.00,6.96,-6.96,Activo
,30/06/2023,0.00,7.00,-7.00,Activo
,28/03/2023,0.00,0.25,-0.25,Activo
,20/01/2023,0.00,0.25,-0.25,Activo
,21/04/2023,0.00,0.50,-0.50,Activo
,29/06/2023,0.00,7.50,-7.50,Activo
,30/05/2023,0.00,7.00,-7.00,Activo
,24/01/2023,0.00,1.25,-1.25,Activo
,25/05/2023,0.00,0.50,-0.50,Activo
,04/07/2023,0.00,8.75,-8.75,Activo
,01/08/2023,0.00,6.00,-6.00,Activo
,24/02/2023,0.00,0.25,-0.25,Activo
,27/01/2023,0.00,0.25,-0.25,Activo
,19/01/2023,0.00,0.25,-0.25,Activo
,21/03/2023,0.00,0.75,-0.75,Activo
,08/05/2023,0.00,4.37,-4.37,Activo
,16/03/2023,0.00,0.25,-0.25,Activo
,22/06/2023,0.00,7.00,-7.00,Activo
,01/06/2023,0.00,7.00,-7.00,Activo
,03/03/2023,0.00,5.50,-5.50,Activo
,10/07/2023,0.00,1.25,-1.25,Activo
,20/02/2023,0.00,0.25,-0.25,Activo
,05/07/2023,0.00,0.50,-0.50,Activo
,21/07/2023,0.00,13.50,-13.50,Activo
,15/02/2023,0.00,0.25,-0.25,Activo
,07/02/2023,0.00,0.25,-0.25,Activo
,20/04/2023,0.00,0.50,-0.50,Activo
,11/01/2023,0.00,8.00,-8.00,Activo
,16/05/2023,0.00,3.42,-3.42,Activo
,24/05/2023,0.00,1.50,-1.50,Activo
,12/04/2023,0.00,0.50,-0.50,Activo
,06/01/2023,0.00,7.50,-7.50,Activo
,19/05/2023,0.00,0.50,-0.50,Activo
,03/01/2023,0.00,7.00,-7.00,Activo
,26/06/2023,0.00,7.00,-7.00,Activo
,06/03/2023,0.00,0.25,-0.25,Activo
,16/01/2023,0.00,8.00,-8.00,Activo
,17/05/2023,0.00,3.30,-3.30,Activo
,28/06/2023,0.00,7.50,-7.50,Activo
,08/03/2023,0.00,0.25,-0.25,Activo
,02/08/2023,0.00,5.50,-5.50,Activo
,16/02/2023,0.00,0.25,-0.25,Activo
,31/07/2023,0.00,8.00,-8.00,Activo
,26/05/2023,0.00,6.50,-6.50,Activo
,07/06/2023,0.00,11.13,-11.13,Activo
,02/03/2023,0.00,7.00,-7.00,Activo
,12/07/2023,0.00,8.30,-8.30,Activo
,17/04/2023,0.00,6.50,-6.50,Activo
,26/01/2023,0.00,0.25,-0.25,Activo
,24/04/2023,0.00,7.50,-7.50,Activo
,04/01/2023,0.00,4.75,-4.75,Activo
,16/06/2023,0.00,12.00,-12.00,Activo
,29/05/2023,0.00,7.00,-7.00,Activo
,28/02/2023,0.00,2.25,-2.25,Activo
,10/01/2023,0.00,8.00,-8.00,Activo
,19/06/2023,0.00,7.00,-7.00,Activo
,06/02/2023,0.00,0.25,-0.25,Activo
,06/07/2023,0.00,0.50,-0.50,Activo
,28/07/2023,0.00,7.00,-7.00,Activo
,25/07/2023,0.00,7.33,-7.33,Activo
,13/06/2023,0.00,1.00,-1.00,Activo
,31/03/2023,0.00,0.25,-0.25,Activo
,15/03/2023,0.00,0.25,-0.25,Activo
,18/05/2023,0.00,8.52,-8.52,Activo
,10/03/2023,0.00,0.25,-0.25,Activo
,27/06/2023,0.00,6.00,-6.00,Activo
,22/02/2023,0.00,0.25,-0.25,Activo
,23/05/2023,0.00,0.50,-0.50,Activo
,17/02/2023,0.00,0.25,-0.25,Activo
,06/06/2023,0.00,9.51,-9.51,Activo
,11/07/2023,0.00,3.40,-3.40,Activo
,23/06/2023,0.00,7.00,-7.00,Activo
,10/02/2023,0.00,0.25,-0.25,Activo
,14/03/2023,0.00,0.25,-0.25,Activo
,20/07/2023,0.00,7.00,-7.00,Activo
,27/07/2023,0.00,12.03,-12.03,Activo
,13/01/2023,0.00,6.00,-6.00,Activo
,09/03/2023,0.00,0.25,-0.25,Activo
,11/05/2023,0.00,1.00,-1.00,Activo
,13/02/2023,0.00,0.25,-0.25,Activo
,30/01/2023,0.00,0.25,-0.25,Activo
,20/06/2023,0.00,6.50,-6.50,Activo
,19/07/2023,0.00,8.70,-8.70,Activo
,25/01/2023,0.00,0.25,-0.25,Activo
,15/06/2023,0.00,13.50,-13.50,Activo
,18/07/2023,0.00,6.00,-6.00,Activo
,17/03/2023,0.00,0.25,-0.25,Activo
,14/06/2023,0.00,14.50,-14.50,Activo
,10/05/2023,0.00,9.54,-9.54,Activo
,09/06/2023,0.00,7.50,-7.50,Activo
,24/07/2023,0.00,7.00,-7.00,Activo
,18/04/2023,0.00,6.50,-6.50,Activo
,03/08/2023,0.00,0.50,-0.50,Activo
,09/01/2023,0.00,8.00,-8.00,Activo
,17/01/2023,0.00,6.00,-6.00,Activo
,05/06/2023,0.00,7.00,-7.00,Activo
,14/07/2023,0.00,0.50,-0.50,Activo
,23/02/2023,0.00,0.25,-0.25,Activo
,30/03/2023,0.00,0.25,-0.25,Activo
,18/01/2023,0.00,0.25,-0.25,Activo
,15/05/2023,0.00,3.00,-3.00,Activo
,02/01/2023,0.00,8.00,-8.00,Activo
,12/06/2023,0.00,7.00,-7.00,Activo
,04/08/2023,0.00,0.50,-0.50,Activo
,13/03/2023,0.00,0.25,-0.25,Activo
,26/07/2023,0.00,11.50,-11.50,Activo
,12/01/2023,0.00,8.00,-8.00,Activo
,07/07/2023,0.00,0.50,-0.50,Activo
,08/02/2023,0.00,0.25,-0.25,Activo
,21/02/2023,0.00,0.25,-0.25,Activo
,25/04/2023,0.00,10.38,-10.38,Activo
,05/01/2023,0.00,8.00,-8.00,Activo
,12/05/2023,0.00,3.00,-3.00,Activo
,03/04/2023,0.00,0.25,-0.25,Activo
,14/02/2023,0.00,0.25,-0.25,Activo
,20/03/2023,0.00,0.25,-0.25,Activo
,01/03/2023,0.00,1.25,-1.25,Activo
,09/05/2023,0.00,6.87,-6.87,Activo
,31/01/2023,0.00,1.25,-1.25,Activo
,31/05/2023,0.00,7.00,-7.00,Activo
,02/06/2023,0.00,7.00,-7.00,Activo
,08/06/2023,0.00,10.79,-10.79,Activo
,17/07/2023,0.00,0.50,-0.50,Activo
,29/03/2023,0.00,0.50,-0.50,Activo
,19/04/2023,0.00,2.50,-2.50,Activo
,23/03/2023,0.00,0.25,-0.25,Activo
,21/06/2023,0.00,7.00,-7.00,Activo
,07/03/2023,0.00,0.25,-0.25,Activo
Apolo- Spectrum App Facturable ASDS-Tribu-20221222-037 - Spectrum,,0.00,41.13,-41.13,Activo
,16/03/2023,0.00,0.25,-0.25,Activo
,21/03/2023,0.00,3.18,-3.18,Activo
,07/03/2023,0.00,2.62,-2.62,Activo
,13/03/2023,0.00,6.74,-6.74,Activo
,08/03/2023,0.00,3.60,-3.60,Activo
,22/03/2023,0.00,3.73,-3.73,Activo
,23/03/2023,0.00,4.45,-4.45,Activo
,10/03/2023,0.00,0.98,-0.98,Activo
,24/03/2023,0.00,5.85,-5.85,Activo
,20/03/2023,0.00,4.21,-4.21,Activo
,14/03/2023,0.00,5.53,-5.53,Activo
B - Implementación Paquetigos - Banco Industrial,,0.00,451.10,-451.10,Activo
,22/05/2023,0.00,2.67,-2.67,Activo
,16/01/2023,0.00,15.50,-15.50,Activo
,12/01/2023,0.00,21.00,-21.00,Activo
,13/03/2023,0.00,12.00,-12.00,Activo
,18/07/2023,0.00,3.50,-3.50,Activo
,22/06/2023,0.00,9.00,-9.00,Activo
,04/01/2023,0.00,7.50,-7.50,Activo
,17/05/2023,0.00,6.98,-6.98,Activo
,25/04/2023,0.00,4.00,-4.00,Activo
,21/03/2023,0.00,7.50,-7.50,Activo
,24/01/2023,0.00,5.50,-5.50,Activo
,17/07/2023,0.00,4.50,-4.50,Activo
,13/01/2023,0.00,7.50,-7.50,Activo
,04/05/2023,0.00,11.50,-11.50,Activo
,16/05/2023,0.00,5.63,-5.63,Activo
,24/03/2023,0.00,8.00,-8.00,Activo
,19/01/2023,0.00,21.05,-21.05,Activo
,09/05/2023,0.00,1.00,-1.00,Activo
,17/03/2023,0.00,6.60,-6.60,Activo
,25/01/2023,0.00,7.50,-7.50,Activo
,06/01/2023,0.00,6.00,-6.00,Activo
,03/01/2023,0.00,6.00,-6.00,Activo
,09/01/2023,0.00,8.00,-8.00,Activo
,20/04/2023,0.00,7.50,-7.50,Activo
,14/03/2023,0.00,4.72,-4.72,Activo
,26/04/2023,0.00,7.50,-7.50,Activo
,19/05/2023,0.00,7.50,-7.50,Activo
,23/01/2023,0.00,7.50,-7.50,Activo
,28/06/2023,0.00,14.25,-14.25,Activo
,18/01/2023,0.00,17.00,-17.00,Activo
,02/03/2023,0.00,5.00,-5.00,Activo
,05/01/2023,0.00,6.50,-6.50,Activo
,26/01/2023,0.00,6.50,-6.50,Activo
,10/01/2023,0.00,7.50,-7.50,Activo
,24/04/2023,0.00,7.50,-7.50,Activo
,19/04/2023,0.00,7.50,-7.50,Activo
,23/03/2023,0.00,1.00,-1.00,Activo
,15/03/2023,0.00,7.50,-7.50,Activo
,27/04/2023,0.00,7.50,-7.50,Activo
,02/01/2023,0.00,7.60,-7.60,Activo
,15/05/2023,0.00,7.00,-7.00,Activo
,23/05/2023,0.00,0.50,-0.50,Activo
,27/06/2023,0.00,7.00,-7.00,Activo
,12/05/2023,0.00,7.50,-7.50,Activo
,13/07/2023,0.00,0.85,-0.85,Activo
,18/05/2023,0.00,15.50,-15.50,Activo
,02/05/2023,0.00,4.00,-4.00,Activo
,29/06/2023,0.00,7.50,-7.50,Activo
,20/07/2023,0.00,6.00,-6.00,Activo
,21/04/2023,0.00,4.00,-4.00,Activo
,28/04/2023,0.00,7.50,-7.50,Activo
,16/03/2023,0.00,3.55,-3.55,Activo
,11/05/2023,0.00,7.50,-7.50,Activo
,22/03/2023,0.00,6.33,-6.33,Activo
,19/07/2023,0.00,9.50,-9.50,Activo
,11/01/2023,0.00,15.00,-15.00,Activo
,05/05/2023,0.00,7.50,-7.50,Activo
,10/07/2023,0.00,0.87,-0.87,Activo
,17/01/2023,0.00,15.00,-15.00,Activo
"B - Mejoras en Pago de Servicios, Notificacions Push, Cuenta Digital ACH - Banco Industrial",,0.00,283.95,-283.95,Activo
,17/04/2023,0.00,5.08,-5.08,Activo
,25/02/2023,0.00,0.00,0.00,Activo
,14/06/2023,0.00,0.50,-0.50,Activo
,04/01/2023,0.00,7.50,-7.50,Activo
,13/02/2023,0.00,7.50,-7.50,Activo
,08/02/2023,0.00,7.50,-7.50,Activo
,21/02/2023,0.00,6.50,-6.50,Activo
,16/02/2023,0.00,7.50,-7.50,Activo
,22/02/2023,0.00,7.50,-7.50,Activo
,13/04/2023,0.00,2.00,-2.00,Activo
,17/02/2023,0.00,7.50,-7.50,Activo
,31/03/2023,0.00,28.42,-28.42,Activo
,01/03/2023,0.00,5.00,-5.00,Activo
,10/02/2023,0.00,12.50,-12.50,Activo
,09/03/2023,0.00,4.00,-4.00,Activo
,18/04/2023,0.00,5.02,-5.02,Activo
,05/01/2023,0.00,10.17,-10.17,Activo
,10/03/2023,0.00,4.00,-4.00,Activo
,28/03/2023,0.00,1.28,-1.28,Activo
,03/03/2023,0.00,7.50,-7.50,Activo
,20/02/2023,0.00,7.50,-7.50,Activo
,23/02/2023,0.00,13.00,-13.00,Activo
,11/01/2023,0.00,7.50,-7.50,Activo
,02/01/2023,0.00,7.50,-7.50,Activo
,27/02/2023,0.00,6.00,-6.00,Activo
,03/04/2023,0.00,7.68,-7.68,Activo
,14/02/2023,0.00,5.50,-5.50,Activo
,28/02/2023,0.00,3.00,-3.00,Activo
,14/03/2023,0.00,2.00,-2.00,Activo
,09/02/2023,0.00,13.00,-13.00,Activo
,10/01/2023,0.00,7.50,-7.50,Activo
,24/02/2023,0.00,7.50,-7.50,Activo
,09/01/2023,0.00,7.50,-7.50,Activo
,02/03/2023,0.00,6.00,-6.00,Activo
,30/03/2023,0.00,14.00,-14.00,Activo
,06/01/2023,0.00,11.17,-11.17,Activo
,15/02/2023,0.00,13.13,-13.13,Activo
,03/01/2023,0.00,7.50,-7.50,Activo
Banco Industrial Ops No Facturable - Banco Industrial,,0.00,9405.58,-9405.58,Activo
,28/04/2023,0.00,50.47,-50.47,Activo
,03/03/2023,0.00,27.40,-27.40,Activo
,16/05/2023,0.00,63.22,-63.22,Activo
,24/03/2023,0.00,30.67,-30.67,Activo
,11/01/2023,0.00,62.56,-62.56,Activo
,27/01/2023,0.00,52.58,-52.58,Activo
,04/07/2023,0.00,72.50,-72.50,Activo
,12/04/2023,0.00,62.02,-62.02,Activo
,21/06/2023,0.00,70.87,-70.87,Activo
,06/01/2023,0.00,65.40,-65.40,Activo
,20/01/2023,0.00,35.26,-35.26,Activo
,30/06/2023,0.00,48.42,-48.42,Activo
,15/01/2023,0.00,0.00,0.00,Activo
,25/07/2023,0.00,89.87,-89.87,Activo
,20/03/2023,0.00,63.72,-63.72,Activo
,21/05/2023,0.00,0.25,-0.25,Activo
,19/04/2023,0.00,56.73,-56.73,Activo
,16/04/2023,0.00,0.47,-0.47,Activo
,15/02/2023,0.00,45.52,-45.52,Activo
,24/04/2023,0.00,95.85,-95.85,Activo
,30/07/2023,0.00,2.17,-2.17,Activo
,21/04/2023,0.00,68.25,-68.25,Activo
,20/02/2023,0.00,62.76,-62.76,Activo
,25/06/2023,0.00,0.42,-0.42,Activo
,02/01/2023,0.00,87.13,-87.13,Activo
,08/06/2023,0.00,66.42,-66.42,Activo
,19/01/2023,0.00,52.53,-52.53,Activo
,04/05/2023,0.00,49.32,-49.32,Activo
,24/01/2023,0.00,87.73,-87.73,Activo
,06/02/2023,0.00,82.00,-82.00,Activo
,17/07/2023,0.00,82.38,-82.38,Activo
,15/03/2023,0.00,29.17,-29.17,Activo
,07/03/2023,0.00,40.13,-40.13,Activo
,13/06/2023,0.00,64.59,-64.59,Activo
